cap,bet,markets,fills,closed_with_fill,realized_pl
0.3,5,2636,302,92,507.98
0.3,10,2636,274,83,944.4
0.3,15,2636,250,73,1407.98
0.3,20,2636,240,69,1782.74
0.3,25,2636,230,67,2259.3
0.3,30,2636,222,66,2717.72
0.3,35,2636,218,64,-280.37
0.3,40,2636,211,64,-342.2
0.3,45,2636,203,61,-265.38
0.3,50,2636,199,58,-417.42
0.3,55,2636,193,58,-467.48
0.3,60,2636,186,56,-397.54
0.3,65,2636,184,55,-613.32
0.3,70,2636,181,54,-596.25
0.3,75,2636,181,54,-638.17
0.3,80,2636,177,52,-502.69
0.3,85,2636,175,51,-431.85
0.3,90,2636,173,51,-425.8
0.3,95,2636,172,51,-409.48
0.3,100,2636,168,51,-391.49
0.3,105,2636,167,50,-268.88
0.3,110,2636,166,50,-250.54
0.3,115,2636,161,48,-2.94
0.3,120,2636,157,48,23.05
0.3,125,2636,157,48,49.04
0.3,130,2636,155,47,205.03
0.3,135,2636,152,46,370.95
0.3,140,2636,150,45,545.23
0.3,145,2636,149,45,584.1
0.3,150,2636,148,44,772.73
0.3,155,2636,147,44,816.33
0.3,160,2636,146,44,859.08
0.3,165,2636,146,44,897.63
0.3,170,2636,146,44,930.89
0.3,175,2636,146,44,963.72
0.3,180,2636,146,44,996.55
0.3,185,2636,141,40,228.4
0.3,190,2636,141,40,232.38
0.3,195,2636,140,39,431.36
0.3,200,2636,139,38,-1031.29
0.3,205,2636,138,38,-1067.02
0.3,210,2636,138,38,-1099.32
0.3,215,2636,138,38,-1131.62
0.3,220,2636,136,36,-1478.79
0.3,225,2636,133,36,-1517.76
0.3,230,2636,130,35,-1326.72
0.3,235,2636,130,35,-1364.05
0.3,240,2636,129,34,-2085.02
0.3,245,2636,129,34,-2136.04
0.3,250,2636,128,34,-2187.06
0.3,255,2636,127,33,-1983.08
0.3,260,2636,126,33,-2029.1
0.3,265,2636,126,33,-2075.12
0.3,270,2636,126,33,-2121.13
0.3,275,2636,123,32,-1888.77
0.3,280,2636,123,32,-1926.48
0.3,285,2636,120,32,-1964.83
0.3,290,2636,118,32,-1999.14
0.3,295,2636,118,32,-2030.62
0.3,300,2636,118,32,-2061.8
0.3,305,2636,116,32,-2092.73
0.3,310,2636,115,32,-2124.83
0.3,315,2636,114,32,-2157.31
0.3,320,2636,112,32,-2189.97
0.3,325,2636,112,32,-2223.24
0.3,330,2636,111,32,-2256.92
0.3,335,2636,111,32,-2290.61
0.3,340,2636,109,32,-2324.29
0.3,345,2636,108,32,-2357.97
0.3,350,2636,108,32,-2391.66
0.3,355,2636,106,32,-2425.34
0.3,360,2636,106,32,-2459.03
0.3,365,2636,106,32,-2492.71
0.3,370,2636,105,32,-2526.39
0.3,375,2636,104,31,-2185.08
0.3,380,2636,103,30,-1833.76
0.3,385,2636,103,30,-1857.45
0.3,390,2636,103,30,-1881.13
0.3,395,2636,102,29,-1509.82
0.3,400,2636,102,29,-1528.5
0.3,405,2636,101,28,-1142.18
0.3,410,2636,101,28,-1155.87
0.3,415,2636,99,28,-1169.55
0.3,420,2636,99,28,-1183.24
0.3,425,2636,99,28,-1196.92
0.3,430,2636,99,28,-1210.61
0.3,435,2636,98,28,-1224.29
0.3,440,2636,98,28,-1237.97
0.3,445,2636,96,27,-806.66
0.3,450,2636,96,27,-815.34
0.3,455,2636,95,26,-369.31
0.3,460,2636,95,26,-374.43
0.3,465,2636,95,26,-379.57
0.3,470,2636,94,25,85.29
0.3,475,2636,94,25,85.14
0.3,480,2636,93,25,85.0
0.3,485,2636,93,25,84.86
0.3,490,2636,92,25,84.72
0.3,495,2636,92,25,84.58
0.3,500,2636,92,25,84.44
0.35,5,2636,343,102,497.79
0.35,10,2636,317,97,953.16
0.35,15,2636,293,89,1435.41
0.35,20,2636,281,84,1874.58
0.35,25,2636,266,80,2394.54
0.35,30,2636,256,77,2866.77
0.35,35,2636,250,74,-145.05
0.35,40,2636,244,72,-224.8
0.35,45,2636,238,70,-178.28
0.35,50,2636,232,67,-316.26
0.35,55,2636,220,64,-535.37
0.35,60,2636,212,62,-467.01
0.35,65,2636,208,62,-510.27
0.35,70,2636,206,62,-554.3
0.35,75,2636,206,62,-594.12
0.35,80,2636,203,60,-458.53
0.35,85,2636,202,59,-388.14
0.35,90,2636,199,57,-499.71
0.35,95,2636,199,57,-511.91
0.35,100,2636,196,57,-522.68
0.35,105,2636,194,57,-536.31
0.35,110,2636,193,57,-534.91
0.35,115,2636,187,55,-302.77
0.35,120,2636,185,55,-287.32
0.35,125,2636,183,54,-554.13
0.35,130,2636,182,54,-546.08
0.35,135,2636,180,53,-403.89
0.35,140,2636,179,53,-393.55
0.35,145,2636,176,52,-238.27
0.35,150,2636,172,49,-225.39
0.35,155,2636,170,48,-55.81
0.35,160,2636,170,48,-37.08
0.35,165,2636,166,46,309.17
0.35,170,2636,166,46,331.73
0.35,175,2636,165,46,353.86
0.35,180,2636,165,46,375.99
0.35,185,2636,162,44,-772.85
0.35,190,2636,161,44,-790.82
0.35,195,2636,160,43,-615.44
0.35,200,2636,160,43,-623.99
0.35,205,2636,159,43,-636.57
0.35,210,2636,158,43,-647.85
0.35,215,2636,158,43,-657.4
0.35,220,2636,158,43,-691.45
0.35,225,2636,157,43,-735.99
0.35,230,2636,156,43,-780.53
0.35,235,2636,155,43,-823.91
0.35,240,2636,154,43,-865.25
