cap,bet,markets,fills,closed_with_fill,closed_y,closed_no,cost_all,cost_closed,realized_pl,value_per_dollar
0.3,5,3056,351,117,89,28,1755,585,632.29,1.0808372923076923
0.3,10,3056,319,107,82,25,3190,1070,1200.05,1.1215389336448598
0.3,15,3056,296,97,75,22,4440,1455,1796.6,1.2347736357388317
0.3,20,3056,277,93,73,20,5540,1860,2308.94,1.2413671252688172
0.3,25,3056,267,90,71,19,6675,2250,2789.82,1.239921063111111
0.3,30,3056,256,88,69,19,7680,2640,3387.24,1.2830458568181817
0.3,35,3056,250,86,68,18,8750,3010,502.16,0.16682985714285714
0.3,40,3056,247,86,68,18,9880,3440,555.07,0.16135769040697676
0.3,45,3056,241,83,65,18,10845,3735,748.34,0.2003597526104418
0.3,50,3056,230,79,62,17,11500,3950,762.82,0.1931201681012658
0.3,55,3056,226,79,62,17,12430,4345,831.83,0.19144444441887234
0.3,60,3056,218,76,59,17,13080,4560,1078.13,0.2364309245614035
0.3,65,3056,212,75,59,16,13780,4875,982.46,0.20152946687179493
0.3,70,3056,207,74,58,16,14490,5180,1119.33,0.21608708861003859
0.3,75,3056,207,74,58,16,15525,5550,1196.46,0.21557883153153148
0.3,80,3056,205,72,56,16,16400,5760,1451.51,0.2519979354166666
0.3,85,3056,204,71,55,16,17340,6035,1643.6,0.2723451227837615
0.3,90,3056,200,70,55,15,18000,6300,1554.93,0.2468144153968253
0.3,95,3056,198,70,55,15,18810,6650,1682.47,0.25300241127819545
0.3,100,3056,196,70,55,15,19600,7000,1813.26,0.25903706057142856
0.3,105,3056,194,69,54,15,20370,7245,2051.38,0.2831436240165631
0.3,110,3056,194,69,54,15,21340,7590,2187.46,0.28820284664031626
0.3,115,3056,191,67,52,15,21965,7705,2553.56,0.3314155593770279
0.3,120,3056,188,67,52,15,22560,8040,2700.55,0.3358888917910447
0.3,125,3056,188,67,52,15,23500,8375,2852.63,0.3406127542686568
0.3,130,3056,185,66,51,15,24050,8580,3136.68,0.36557987167832173
0.3,135,3056,183,65,50,15,24705,8775,3431.32,0.3910338769230769
0.3,140,3056,180,64,49,15,25200,8960,3741.43,0.41757054542410715
0.3,145,3056,179,63,49,14,25955,9135,3542.22,0.3877634419266558
0.3,150,3056,178,62,48,14,26700,9300,3855.6,0.4145804284946236
0.3,155,3056,178,62,48,14,27590,9610,4025.21,0.4188559033298647
0.3,160,3056,178,62,48,14,28480,9920,4195.49,0.4229322909274194
0.3,165,3056,177,62,48,14,29205,10230,4358.25,0.4260263631476051
0.3,170,3056,175,62,48,14,29750,10540,4515.72,0.4284361442125237
0.3,175,3056,173,61,47,14,30275,10675,4846.13,0.4539704675409836
0.3,180,3056,173,61,47,14,31140,10980,5004.21,0.45575640418943536
0.3,185,3056,169,57,44,13,31265,10545,4361.64,0.4136212160265529
0.3,190,3056,168,57,44,13,31920,10830,4491.19,0.4146991686057248
0.3,195,3056,167,56,43,13,32565,10920,4817.6,0.4411721978937729
0.3,200,3056,166,55,43,12,33200,11000,3482.0,0.31654504127272726
0.3,205,3056,166,55,43,12,34030,11275,3572.03,0.31680985667405764
0.3,210,3056,166,55,43,12,34860,11550,3666.65,0.31745861281385285
0.3,215,3056,166,55,43,12,35690,11825,3762.53,0.3181843250739958
0.3,220,3056,163,53,42,11,35860,11660,3541.3,0.30371367838765007
0.3,225,3056,161,52,42,10,36225,11700,3096.92,0.26469374641025645
0.3,230,3056,156,50,41,9,35880,11500,2846.06,0.24748377408695652
0.3,235,3056,156,50,41,9,36660,11750,2903.8,0.24713162740425532
0.3,240,3056,155,49,41,8,37200,11760,2276.81,0.19360620867346942
0.3,245,3056,155,49,41,8,37975,12005,2319.78,0.1932340830487297
0.3,250,3056,154,49,41,8,38500,12250,2362.74,0.1928768426122449
0.3,255,3056,153,48,40,8,39015,12240,2660.71,0.21737806184640523
0.3,260,3056,152,48,40,8,39520,12480,2708.67,0.2170411564102564
0.3,265,3056,152,48,40,8,40280,12720,2756.05,0.21667084433962272
0.3,270,3056,152,48,40,8,41040,12960,2803.98,0.21635683341049392
0.3,275,3056,149,47,39,8,40975,12925,3129.69,0.24214245114119923
0.3,280,3056,148,47,39,8,41440,13160,3185.33,0.2420461088905775
