batch:4655 | markets_total:125364 | total spent 623516.94 | batch P/L: 106.49 | total P/L: 428587.70 | bank: 433587.70 | next offset: 47050 | timestamp 2025-05-07T15:33:58.199316Z

batch:4656 | markets_total:125413 | total spent 623704.94 | batch P/L: 107.00 | total P/L: 428694.70 | bank: 433694.70 | next offset: 47100 | timestamp 2025-05-07T15:50:46.413997Z

batch:4657 | markets_total:125463 | total spent 623977.85 | batch P/L: 284.36 | total P/L: 428979.07 | bank: 433979.07 | next offset: 47150 | timestamp 2025-05-07T16:49:32.418667Z

batch:4658 | markets_total:125499 | total spent 624187.85 | batch P/L: 65.00 | total P/L: 429044.07 | bank: 434044.07 | next offset: 47200 | timestamp 2025-05-07T20:22:13.671675Z

batch:4659 | markets_total:125538 | total spent 624381.85 | batch P/L: 141.00 | total P/L: 429185.07 | bank: 434185.07 | next offset: 47250 | timestamp 2025-05-08T08:47:19.606798Z

batch:4660 | markets_total:125588 | total spent 624521.85 | batch P/L: 160.00 | total P/L: 429345.07 | bank: 434345.07 | next offset: 47300 | timestamp 2025-05-08T15:49:32.899333Z

batch:4661 | markets_total:125612 | total spent 624581.85 | batch P/L: 40.00 | total P/L: 429385.07 | bank: 434385.07 | next offset: 47350 | timestamp 2025-05-08T16:11:01.501373Z

batch:4662 | markets_total:125620 | total spent 624590.30 | batch P/L: 12.67 | total P/L: 429397.73 | bank: 434397.73 | next offset: 47400 | timestamp 2025-05-08T18:28:11.21655Z

batch:4663 | markets_total:125668 | total spent 624630.30 | batch P/L: 10.00 | total P/L: 429407.73 | bank: 434407.73 | next offset: 47450 | timestamp 2025-05-08T18:55:18.017165Z

batch:4664 | markets_total:125708 | total spent 624860.30 | batch P/L: 170.00 | total P/L: 429577.73 | bank: 434577.73 | next offset: 47500 | timestamp 2025-05-08T19:07:12.845128Z

batch:4665 | markets_total:125742 | total spent 625060.30 | batch P/L: 200.00 | total P/L: 429777.73 | bank: 434777.73 | next offset: 47550 | timestamp 2025-05-09T08:10:33.156879Z

batch:4666 | markets_total:125774 | total spent 625270.30 | batch P/L: 190.00 | total P/L: 429967.73 | bank: 434967.73 | next offset: 47600 | timestamp 2025-05-09T08:13:22.911508Z

batch:4667 | markets_total:125823 | total spent 625536.30 | batch P/L: 124.00 | total P/L: 430091.73 | bank: 435091.73 | next offset: 47650 | timestamp 2025-05-09T11:30:37.43949Z

batch:4668 | markets_total:125873 | total spent 625706.30 | batch P/L: -20.00 | total P/L: 430071.73 | bank: 435071.73 | next offset: 47700 | timestamp 2025-05-09T15:31:32.537597Z

batch:4669 | markets_total:125920 | total spent 625831.25 | batch P/L: 45.04 | total P/L: 430116.78 | bank: 435116.78 | next offset: 47750 | timestamp 2025-05-09T20:56:42.476606Z

batch:4670 | markets_total:125929 | total spent 625871.25 | batch P/L: -40.00 | total P/L: 430076.78 | bank: 435076.78 | next offset: 47800 | timestamp 2025-05-10T15:00:54.246677Z

batch:4671 | markets_total:125946 | total spent 626040.05 | batch P/L: -46.80 | total P/L: 430029.98 | bank: 435029.98 | next offset: 47850 | timestamp 2025-05-10T16:50:49.115688Z

batch:4672 | markets_total:125949 | total spent 626054.05 | batch P/L: -4.00 | total P/L: 430025.98 | bank: 435025.98 | next offset: 47900 | timestamp 2025-05-11T06:14:16.9379Z

batch:4673 | markets_total:125991 | total spent 626363.57 | batch P/L: 164.28 | total P/L: 430190.26 | bank: 435190.26 | next offset: 47950 | timestamp 2025-05-12T04:00:12.404078Z

batch:4674 | markets_total:126010 | total spent 626453.57 | batch P/L: 60.00 | total P/L: 430250.26 | bank: 435250.26 | next offset: 48000 | timestamp 2025-05-12T05:24:31.742004Z

batch:4675 | markets_total:126053 | total spent 626553.57 | batch P/L: 75.00 | total P/L: 430325.26 | bank: 435325.26 | next offset: 48050 | timestamp 2025-05-12T13:51:40.013254Z

batch:4676 | markets_total:126082 | total spent 626553.57 | batch P/L: 0.00 | total P/L: 430325.26 | bank: 435325.26 | next offset: 48100 | timestamp 2025-05-12T14:03:08.251854Z

batch:4677 | markets_total:126103 | total spent 626667.57 | batch P/L: 61.00 | total P/L: 430386.26 | bank: 435386.26 | next offset: 48150 | timestamp 2025-05-12T17:51:44.237895Z

batch:4678 | markets_total:126153 | total spent 627103.57 | batch P/L: 379.00 | total P/L: 430765.26 | bank: 435765.26 | next offset: 48200 | timestamp 2025-05-12T18:08:44.44037Z

batch:4679 | markets_total:126203 | total spent 627200.34 | batch P/L: 45.15 | total P/L: 430810.40 | bank: 435810.40 | next offset: 48250 | timestamp 2025-05-12T20:31:18.056561Z

batch:4680 | markets_total:126253 | total spent 627283.21 | batch P/L: 17.13 | total P/L: 430827.53 | bank: 435827.53 | next offset: 48300 | timestamp 2025-05-12T20:34:05.813508Z

batch:4681 | markets_total:126288 | total spent 627483.21 | batch P/L: 200.00 | total P/L: 431027.53 | bank: 436027.53 | next offset: 48350 | timestamp 2025-05-12T22:33:13.53387Z

batch:4682 | markets_total:126305 | total spent 627643.21 | batch P/L: 90.00 | total P/L: 431117.53 | bank: 436117.53 | next offset: 48400 | timestamp 2025-05-12T23:34:56.153782Z

batch:4683 | markets_total:126331 | total spent 627823.21 | batch P/L: 170.00 | total P/L: 431287.53 | bank: 436287.53 | next offset: 48450 | timestamp 2025-05-13T02:10:35.872258Z

batch:4684 | markets_total:126378 | total spent 627963.21 | batch P/L: 135.00 | total P/L: 431422.53 | bank: 436422.53 | next offset: 48500 | timestamp 2025-05-13T14:30:13.552267Z

batch:4685 | markets_total:126427 | total spent 628203.21 | batch P/L: 160.00 | total P/L: 431582.53 | bank: 436582.53 | next offset: 48550 | timestamp 2025-05-13T18:27:10.588961Z

batch:4686 | markets_total:126465 | total spent 628352.77 | batch P/L: 50.44 | total P/L: 431632.97 | bank: 436632.97 | next offset: 48600 | timestamp 2025-05-13T20:41:12.665745Z

batch:4687 | markets_total:126465 | total spent 628352.77 | batch P/L: 0.00 | total P/L: 431632.97 | bank: 436632.97 | next offset: 48650 | timestamp None

batch:4688 | markets_total:126495 | total spent 628522.77 | batch P/L: 180.00 | total P/L: 431812.97 | bank: 436812.97 | next offset: 48700 | timestamp 2025-05-14T08:28:26.222452Z

