month,total_markets,yes_won_total,no_won_total,yes_percent_total,no_percent_total,art_yes,art_no,business_yes,business_no,chess_yes,chess_no,coronavirus_yes,coronavirus_no,crypto_yes,crypto_no,global_politics_yes,global_politics_no,nba_playoffs_yes,nba_playoffs_no,nfts_yes,nfts_no,olympics_yes,olympics_no,poker_yes,poker_no,politics_yes,politics_no,pop_culture_yes,pop_culture_no,science_yes,science_no,space_yes,space_no,sports_yes,sports_no,tech_yes,tech_no,ukraine_russia_yes,ukraine_russia_no,uncategorized_yes,uncategorized_no,us_current_affairs_yes,us_current_affairs_no
2020-10,7,2,5,28.5714,71.4286,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2020-11,12,4,8,33.3333,66.6667,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,6
2020-12,12,7,5,58.3333,41.6667,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4
2021-01,27,14,13,51.8519,48.1481,0,0,0,0,0,0,2,0,4,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,6,3,0,0,0,0,0,10,9
2021-02,60,31,29,51.6667,48.3333,0,0,0,2,0,0,4,0,6,14,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,36,31,0,0,0,0,0,0,6,4
2021-03,50,22,28,44.0000,56.0000,0,0,0,2,0,0,12,14,8,6,0,0,0,0,0,8,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,16,18
2021-04,68,34,34,50.0000,50.0000,2,0,4,2,0,0,4,10,8,9,0,6,0,0,2,0,2,0,0,0,0,0,4,4,0,0,2,2,18,14,0,0,0,0,0,0,18,12
2021-05,147,68,79,46.2585,53.7415,12,46,2,0,24,22,8,4,4,10,2,0,56,32,0,0,0,0,0,0,0,0,2,8,2,0,0,0,4,22,0,0,0,0,0,0,18,14
2021-06,192,83,109,43.2292,56.7708,2,16,2,0,4,6,4,2,3,12,0,0,71,55,0,0,0,0,0,0,0,0,10,24,0,0,0,0,56,92,0,0,0,0,0,0,12,9
2021-07,97,39,58,40.2062,59.7938,0,0,7,16,0,2,18,2,6,12,0,0,24,6,0,0,6,14,0,14,0,0,6,18,0,4,2,0,6,10,0,1,0,0,0,0,1,14
2021-08,110,57,53,51.8182,48.1818,0,0,3,8,6,1,2,2,10,8,2,3,0,0,0,0,14,0,0,0,0,0,12,16,8,8,0,2,38,34,0,0,0,0,0,0,18,21
2021-09,85,43,42,50.5882,49.4118,0,0,3,0,2,2,6,2,2,0,1,0,0,0,0,2,0,0,0,0,0,0,8,6,2,4,0,0,54,56,0,0,0,0,0,0,5,11
2021-10,193,89,104,46.1140,53.8860,0,0,2,0,0,4,4,4,12,20,2,0,0,0,0,0,0,0,0,0,0,0,14,7,6,3,0,0,130,160,0,0,0,0,0,0,8,8
2021-11,394,178,216,45.1777,54.8223,10,22,2,0,2,6,18,10,30,36,0,2,0,0,0,6,0,0,0,0,0,0,12,18,10,10,0,0,260,296,0,0,0,0,0,0,12,26
2021-12,349,185,164,53.0086,46.9914,0,0,4,2,6,8,28,6,10,14,4,0,0,0,24,10,0,0,0,0,0,0,4,12,8,2,0,0,280,258,0,0,0,0,0,0,2,12
2022-01,616,255,361,41.3961,58.6039,0,0,29,14,0,2,39,54,25,124,12,22,0,0,46,28,0,0,0,0,1,0,6,27,2,10,0,0,290,332,0,0,0,0,0,0,59,94
2022-02,331,186,145,56.1934,43.8066,0,0,6,9,10,8,4,4,10,16,4,6,0,0,0,6,0,0,0,0,0,0,10,16,0,0,0,0,319,211,0,0,4,4,0,0,4,8
2022-03,485,251,234,51.7526,48.2474,0,0,12,6,4,4,4,0,14,22,8,0,0,0,6,12,0,0,0,0,0,0,20,28,0,0,0,0,400,342,0,0,22,38,0,0,10,16
2022-04,436,234,202,53.6697,46.3303,0,4,8,16,0,2,8,4,7,20,10,10,0,0,13,14,0,0,0,0,0,0,12,18,0,2,0,0,394,285,0,2,6,10,0,0,6,12
2022-05,278,149,129,53.5971,46.4029,0,2,15,4,0,4,2,4,20,38,0,2,0,0,10,18,0,0,0,0,0,0,18,4,8,2,0,0,207,153,0,0,2,4,0,0,8,20
2022-06,111,52,59,46.8468,53.1532,0,0,16,13,2,8,0,0,20,28,2,2,0,0,2,4,0,0,0,0,0,0,2,16,0,2,0,0,50,40,0,0,2,0,0,0,6,4
2022-07,89,33,56,37.0787,62.9213,0,2,12,12,0,0,0,2,8,10,2,8,0,0,0,4,0,0,0,0,0,0,4,16,0,0,0,0,22,34,0,0,0,0,0,0,16,21
2022-08,61,25,36,40.9836,59.0164,0,0,7,7,0,2,1,0,8,7,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,8,11,0,0,0,0,0,0,15,26
2022-09,121,56,65,46.2810,53.7190,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
