month,total_markets,yes_won_total,no_won_total,yes_percent_total,no_percent_total
2020-10,7,2,5,28.5714,71.4286
2020-11,12,4,8,33.3333,66.6667
2020-12,12,7,5,58.3333,41.6667
2021-01,27,14,13,51.8519,48.1481
2021-02,60,31,29,51.6667,48.3333
2021-03,50,22,28,44.0000,56.0000
2021-04,68,34,34,50.0000,50.0000
2021-05,147,68,79,46.2585,53.7415
2021-06,192,83,109,43.2292,56.7708
2021-07,97,39,58,40.2062,59.7938
2021-08,110,57,53,51.8182,48.1818
2021-09,85,43,42,50.5882,49.4118
2021-10,193,89,104,46.1140,53.8860
2021-11,394,178,216,45.1777,54.8223
2021-12,349,185,164,53.0086,46.9914
2022-01,616,255,361,41.3961,58.6039
2022-02,331,186,145,56.1934,43.8066
2022-03,485,251,234,51.7526,48.2474
2022-04,436,234,202,53.6697,46.3303
2022-05,278,149,129,53.5971,46.4029
2022-06,111,52,59,46.8468,53.1532
2022-07,89,33,56,37.0787,62.9213
2022-08,61,25,36,40.9836,59.0164
2022-09,121,56,65,46.2810,53.7190
2022-10,114,50,64,43.8596,56.1404
2022-11,167,66,101,39.5210,60.4790
2022-12,68,35,33,51.4706,48.5294
2023-01,89,30,59,33.7079,66.2921
2023-02,239,106,133,44.3515,55.6485
2023-03,733,392,341,53.4789,46.5211
2023-04,677,335,342,49.4830,50.5170
2023-05,497,260,237,52.3139,47.6861
2023-06,96,39,57,40.6250,59.3750
2023-07,116,37,79,31.8966,68.1034
2023-08,163,55,108,33.7423,66.2577
2023-09,228,90,138,39.4737,60.5263
2023-10,368,181,187,49.1848,50.8152
2023-11,280,126,154,45.0000,55.0000
2023-12,256,101,155,39.4531,60.5469
2024-01,551,95,456,17.2414,82.7586
2024-02,464,107,357,23.0603,76.9397
2024-03,642,180,462,28.0374,71.9626
2024-04,597,170,427,28.4757,71.5243
2024-05,642,145,497,22.5857,77.4143
2024-06,863,230,633,26.6512,73.3488
2024-07,1215,246,969,20.2469,79.7531
2024-08,1629,411,1218,25.2302,74.7698
2024-09,2112,668,1444,31.6288,68.3712
2024-10,2830,1002,1828,35.4064,64.5936
2024-11,2242,717,1525,31.9804,68.0196
2024-12,2321,776,1545,33.4339,66.5661
2025-01,3432,931,2501,27.1270,72.8730
2025-02,4336,1198,3138,27.6292,72.3708
2025-03,5991,2217,3774,37.0055,62.9945
2025-04,6557,2507,4050,38.2339,61.7661
2025-05,5658,1616,4042,28.5613,71.4387
2025-06,7792,2565,5227,32.9184,67.0816
2025-07,8698,2622,6076,30.1449,69.8551
2025-08,10889,3988,6901,36.6241,63.3759
2025-09,30955,11359,19596,36.6952,63.3048
2025-10,30854,12772,18082,41.3950,58.6050
2025-11,22692,9953,12739,43.8613,56.1387
