month,total,yes,no,pct_yes,pct_no,cum_yes,cum_no,cum_pct_yes,cum_pct_no
2020-11,1,0,1,0.000,100.000,0,1,0.000,100.000
2020-12,10,8,2,80.000,20.000,8,3,72.727,27.273
2021-01,15,6,9,40.000,60.000,14,12,53.846,46.154
2021-02,14,5,9,35.714,64.286,19,21,47.500,52.500
2021-03,31,18,13,58.065,41.935,37,34,52.113,47.887
2021-04,44,20,24,45.455,54.545,57,58,49.565,50.435
2021-05,104,43,61,41.346,58.654,100,119,45.662,54.338
2021-06,90,31,59,34.444,65.556,131,178,42.395,57.605
2021-07,77,25,52,32.468,67.532,156,230,40.415,59.585
2021-08,82,43,39,52.439,47.561,199,269,42.521,57.479
2021-09,45,17,28,37.778,62.222,216,297,42.105,57.895
2021-10,111,56,55,50.450,49.550,272,352,43.590,56.410
2021-11,365,160,205,43.836,56.164,432,557,43.680,56.320
2021-12,319,157,162,49.216,50.784,589,719,45.031,54.969
2022-01,315,136,179,43.175,56.825,725,898,44.670,55.330
2022-02,286,140,146,48.951,51.049,865,1044,45.312,54.688
2022-03,312,144,168,46.154,53.846,1009,1212,45.430,54.570
2022-04,313,140,173,44.728,55.272,1149,1385,45.343,54.657
2022-05,200,76,124,38.000,62.000,1225,1509,44.806,55.194
2022-06,111,42,69,37.838,62.162,1267,1578,44.534,55.466
2022-07,76,28,48,36.842,63.158,1295,1626,44.334,55.666
2022-08,62,19,43,30.645,69.355,1314,1669,44.050,55.950
2022-09,62,25,37,40.323,59.677,1339,1706,43.974,56.026
2022-10,44,20,24,45.455,54.545,1359,1730,43.995,56.005
2022-11,142,63,79,44.366,55.634,1422,1809,44.011,55.989
2022-12,101,37,64,36.634,63.366,1459,1873,43.788,56.212
2023-01,70,21,49,30.000,70.000,1480,1922,43.504,56.496
2023-02,93,33,60,35.484,64.516,1513,1982,43.290,56.710
2023-03,124,66,58,53.226,46.774,1579,2040,43.631,56.369
2023-04,132,57,75,43.182,56.818,1636,2115,43.615,56.385
2023-05,162,53,109,32.716,67.284,1689,2224,43.164,56.836
2023-06,69,28,41,40.580,59.420,1717,2265,43.119,56.881
2023-07,91,36,55,39.560,60.440,1753,2320,43.040,56.960
2023-08,122,39,83,31.967,68.033,1792,2403,42.718,57.282
2023-09,99,33,66,33.333,66.667,1825,2469,42.501,57.499
2023-10,136,52,84,38.235,61.765,1877,2553,42.370,57.630
2023-11,111,51,60,45.946,54.054,1928,2613,42.458,57.542
2023-12,88,37,51,42.045,57.955,1965,2664,42.450,57.550
2024-01,296,64,232,21.622,78.378,2029,2896,41.198,58.802
2024-02,283,61,222,21.555,78.445,2090,3118,40.131,59.869
2024-03,505,133,372,26.337,73.663,2223,3490,38.911,61.089
2024-04,377,85,292,22.546,77.454,2308,3782,37.898,62.102
2024-05,459,102,357,22.222,77.778,2410,4139,36.800,63.200
2024-06,870,212,658,24.368,75.632,2622,4797,35.342,64.658
2024-07,902,186,716,20.621,79.379,2808,5513,33.746,66.254
2024-08,1269,308,961,24.271,75.729,3116,6474,32.492,67.508
2024-09,1490,441,1049,29.597,70.403,3557,7523,32.103,67.897
2024-10,1885,622,1263,32.997,67.003,4179,8786,32.233,67.767
2024-11,2076,559,1517,26.927,73.073,4738,10303,31.501,68.499
2024-12,1472,360,1112,24.457,75.543,5098,11415,30.873,69.127
2025-01,2209,523,1686,23.676,76.324,5621,13101,30.024,69.976
2025-02,2282,531,1751,23.269,76.731,6152,14852,29.290,70.710
2025-03,2612,549,2063,21.018,78.982,6701,16915,28.375,71.625
2025-04,3086,669,2417,21.679,78.321,7370,19332,27.601,72.399
2025-05,3788,836,2952,22.070,77.930,8206,22284,26.914,73.086
2025-06,4381,791,3590,18.055,81.945,8997,25874,25.801,74.199
2025-07,4991,815,4176,16.329,83.671,9812,30050,24.615,75.385
2025-08,6035,1537,4498,25.468,74.532,11349,34548,24.727,75.273
2025-09,20553,5978,14575,29.086,70.914,17327,49123,26.075,73.925
2025-10,4439,1129,3310,25.434,74.566,18456,52433,26.035,73.965
